date,funding
2021-03-25,-0.00042256
2021-03-26,-0.00054376
2021-03-27,-0.00032468
2021-03-28,0.00044283
2021-03-29,0.00086308
2021-03-30,0.00196206
2021-03-31,0.00172138
2021-04-01,0.00185955
2021-04-02,0.00314592
2021-04-03,0.00313907
2021-04-04,0.00073937
2021-04-05,0.00182612
2021-04-06,0.0030065900000000004
2021-04-07,0.00121774
2021-04-08,0.00093871
2021-04-09,0.00124651
2021-04-10,0.00265016
2021-04-11,0.00431763
2021-04-12,0.00422905
2021-04-13,0.00628777
2021-04-14,0.00697125
2021-04-15,0.00473964
2021-04-16,0.00700328
2021-04-17,0.00380667
2021-04-18,0.0003722
2021-04-19,0.0009243000000000001
2021-04-20,0.0
2021-04-21,0.00133707
2021-04-22,0.0015781200000000001
2021-04-23,0.00072461
2021-04-24,0.00025756
2021-04-25,0.0
2021-04-26,0.0007443
2021-04-27,0.00046534
2021-04-28,0.00114421
2021-04-29,0.00079465
2021-04-30,0.0011338799999999999
2021-05-01,0.0019416099999999999
2021-05-02,0.00128852
2021-05-03,0.00164957
2021-05-04,0.00160036
2021-05-05,0.0009027499999999999
2021-05-06,0.00360781
2021-05-07,0.00210064
2021-05-08,0.00212334
2021-05-09,0.0013622
2021-05-10,0.0017904700000000002
2021-05-11,0.0
2021-05-12,-2.5330000000000003e-05
2021-05-13,0.0005173
2021-05-14,0.00025001
2021-05-15,0.00143585
2021-05-16,0.00114627
2021-05-17,0.00090995
2021-05-18,0.00119413
2021-05-19,-0.0026409600000000004
2021-05-20,-0.00087888
2021-05-21,-0.0004058
2021-05-22,-0.00043913
2021-05-23,-0.00019009
2021-05-24,-0.00254516
2021-05-25,-0.0002195
2021-05-26,0.00044532
2021-05-27,-1.668e-05
2021-05-28,-0.0009382100000000001
2021-05-29,0.0
2021-05-30,-0.00199599
2021-05-31,-0.00066724
2021-06-01,-7.534e-05
2021-06-02,-8.31e-06
2021-06-03,-0.00013549
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,-6.007e-05
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,-1.534e-05
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,-8.312e-05
2021-06-18,-7.25e-06
2021-06-19,-0.00035235
2021-06-20,-0.00059779
2021-06-21,-0.00030215
2021-06-22,-0.0017969599999999998
2021-06-23,-0.00085715
2021-06-24,-0.00063293
2021-06-25,-5.993e-05
2021-06-26,-0.00011292999999999999
2021-06-27,-0.00075458
2021-06-28,-0.00038173
2021-06-29,0.0
2021-06-30,-0.00014264
2021-07-01,-0.0005878000000000001
2021-07-02,-0.0016837
2021-07-03,-0.0007193
2021-07-04,-2.51e-06
2021-07-05,-0.00025236
2021-07-06,-0.00023345
2021-07-07,-0.00065987
2021-07-08,-0.0001198
2021-07-09,-0.00058529
2021-07-10,-0.00143388
2021-07-11,-0.00093172
2021-07-12,-0.0006070100000000001
2021-07-13,-0.00127417
2021-07-14,-0.00037142
2021-07-15,-0.00086608
2021-07-16,-0.00259499
2021-07-17,-0.0021120699999999997
2021-07-18,-0.00232965
2021-07-19,-0.00156859
2021-07-20,-0.0017957999999999997
2021-07-21,-0.0014774
2021-07-22,0.0
2021-07-23,-0.00098945
2021-07-24,0.0
2021-07-25,-0.00013077
2021-07-26,-0.00024538
2021-07-27,-0.00036867000000000003
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,-0.00016185
2021-07-31,0.0
2021-08-01,0.0
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,0.0
2021-08-06,0.0
2021-08-07,0.00025174
2021-08-08,5.377e-05
2021-08-09,0.0
2021-08-10,0.00015928
2021-08-11,0.00021664999999999998
2021-08-12,0.0013679999999999999
2021-08-13,0.00048693
2021-08-14,0.0009717199999999999
2021-08-15,0.00011936
2021-08-16,0.00119083
2021-08-17,0.00081727
2021-08-18,0.0001167
2021-08-19,0.0
2021-08-20,0.00036196
2021-08-21,0.0014018
2021-08-22,0.00124635
2021-08-23,0.00157705
2021-08-24,0.00160656
2021-08-25,0.0007096100000000001
2021-08-26,0.0006912
2021-08-27,0.0
2021-08-28,0.00072928
2021-08-29,0.00113558
2021-08-30,0.00143498
2021-08-31,0.00102531
2021-09-01,0.00141378
2021-09-02,0.00090431
2021-09-03,0.00112311
2021-09-04,0.00189237
2021-09-05,0.0018955999999999999
2021-09-06,0.00216481
2021-09-07,-0.0003150100000000001
2021-09-08,-0.00041319
2021-09-09,0.0
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.00023074
2021-09-18,2.763e-05
2021-09-19,0.00010744
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,-0.00018317
2021-09-23,-0.00050831
2021-09-24,-0.00025781
2021-09-25,-0.00013273
2021-09-26,-0.00072627
2021-09-27,0.0
2021-09-28,-7.669e-05
2021-09-29,-0.00040927
2021-09-30,-0.00213651
2021-10-01,-0.0019364900000000001
2021-10-02,-0.00123434
2021-10-03,-0.0015715199999999999
2021-10-04,-0.0010208700000000001
2021-10-05,-0.00029131000000000003
2021-10-06,-0.00130338
2021-10-07,-1.46e-06
2021-10-08,0.00034226
2021-10-09,9.908000000000001e-05
2021-10-10,0.0007713500000000001
2021-10-11,0.00043581
2021-10-12,0.0
2021-10-13,0.00035739
2021-10-14,-0.00065859
2021-10-15,-0.0003603
2021-10-16,-0.00099912
2021-10-17,-0.0018146899999999999
2021-10-18,-0.00178942
2021-10-19,-0.00162336
2021-10-20,-0.00127984
2021-10-21,-0.00015730000000000008
2021-10-22,0.00098274
2021-10-23,0.00099497
2021-10-24,0.0012152299999999999
2021-10-25,0.00112745
2021-10-26,0.00140521
2021-10-27,0.00067034
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0007105600000000001
2021-10-31,0.0
2021-11-01,-0.00036528
2021-11-02,-1.756e-05
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.00023238
2021-11-06,-0.00060288
2021-11-07,-0.00062379
2021-11-08,1.202e-05
2021-11-09,3.602e-05
2021-11-10,0.00051539
2021-11-11,-0.00047654
2021-11-12,-0.00113814
2021-11-13,-0.00124548
2021-11-14,-0.00111724
2021-11-15,-7.715e-05
2021-11-16,-0.00037642
2021-11-17,0.00012726
2021-11-18,3.624e-05
2021-11-19,0.0
2021-11-20,4.6e-07
2021-11-21,0.0001056
2021-11-22,0.00015492
2021-11-23,0.00015094
2021-11-24,0.00039897
2021-11-25,0.0010285799999999999
2021-11-26,0.00056459
2021-11-27,0.0
2021-11-28,0.00024979
2021-11-29,7.466e-05
2021-11-30,7.319e-05
2021-12-01,2.764e-05
2021-12-02,0.00021658000000000002
2021-12-03,3.977e-05
2021-12-04,-0.00025801000000000003
2021-12-05,-0.00026037
2021-12-06,-9.407e-05
2021-12-07,-0.00211515
2021-12-08,-0.00121376
2021-12-09,-0.0010650500000000001
2021-12-10,-0.00183821
2021-12-11,-0.0011170099999999999
2021-12-12,-0.00132403
2021-12-13,-0.0010542400000000001
2021-12-14,-0.0005219900000000001
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,7.356e-05
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,-0.00028092000000000004
2022-01-10,-0.00045591999999999996
2022-01-11,-0.0002741
2022-01-12,-0.00290798
2022-01-13,-0.0030357
2022-01-14,-0.0026653600000000003
2022-01-15,-0.00241024
2022-01-16,-0.0027882
2022-01-17,-0.00256925
2022-01-18,-0.00148137
2022-01-19,-0.00187715
2022-01-20,-0.0008999100000000001
2022-01-21,0.0
2022-01-22,-0.00033295
2022-01-23,-0.00012949
2022-01-24,-7.805e-05
2022-01-25,-0.00012173
2022-01-26,-0.00029715
2022-01-27,-0.00062349
2022-01-28,-0.00045306999999999997
2022-01-29,-2.128e-05
2022-01-30,-0.00015692
2022-01-31,-0.00029476999999999997
2022-02-01,-5.12e-05
2022-02-02,-3.712e-05
2022-02-03,-0.00021278000000000003
2022-02-04,-0.00010614
2022-02-05,-0.0003478
2022-02-06,-0.00020896
2022-02-07,-0.00028556
2022-02-08,-7.65e-05
2022-02-09,0.0
2022-02-10,-0.0001222
2022-02-11,-0.00022849
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,-1.311e-05
2022-02-17,-0.00023939
2022-02-18,-0.00037877
2022-02-19,-0.00033711
2022-02-20,-0.00074178
2022-02-21,-0.00042221999999999995
2022-02-22,-0.00028742
2022-02-23,-5.677e-05
2022-02-24,-0.00024014999999999998
2022-02-25,-0.00037547000000000004
2022-02-26,-2.515e-05
2022-02-27,-7.2999999999999996e-06
2022-02-28,-8.48e-06
2022-03-01,0.0
2022-03-02,-0.00027335
2022-03-03,-0.00024162
2022-03-04,-0.00062909
2022-03-05,-0.00110904
2022-03-06,-0.00114741
2022-03-07,-0.00109119
2022-03-08,-0.00087391
2022-03-09,-0.00038425
2022-03-10,-2.639e-05
2022-03-11,-0.00026596
2022-03-12,0.0
2022-03-13,-0.00010674
2022-03-14,-0.00029642000000000004
2022-03-15,-0.00022082999999999998
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,-5.118e-05
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,8.729e-05
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,-2.767e-05
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,-2.485e-05
2022-04-12,-5.075e-05
2022-04-13,-0.00012415
2022-04-14,-0.00031837
2022-04-15,0.0
2022-04-16,-9.686999999999999e-05
2022-04-17,0.0
2022-04-18,-0.00017403999999999998
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,-2.719e-05
2022-04-23,-8.577e-05
2022-04-24,-0.00011321
2022-04-25,-0.0002475
2022-04-26,0.0
2022-04-27,-0.00011378999999999999
2022-04-28,-8.404e-05
2022-04-29,-0.00020929
2022-04-30,-0.0001572
2022-05-01,-0.0006720999999999999
2022-05-02,-0.00051868
2022-05-03,-0.00040419
2022-05-04,-0.0003764
2022-05-05,0.0
2022-05-06,-0.0006996799999999999
2022-05-07,0.0
2022-05-08,-9.014e-05
2022-05-09,-9.253e-05
2022-05-10,-0.0009878999999999999
2022-05-11,-0.00123111
2022-05-12,-0.00339377
2022-05-13,-0.00121347
2022-05-14,-0.0014618
2022-05-15,-0.00102998
2022-05-16,-0.00126938
2022-05-17,-0.0010842999999999998
2022-05-18,-0.00158364
2022-05-19,-0.00122872
2022-05-20,-0.0008131200000000001
2022-05-21,-0.00082214
2022-05-22,-0.00032684
2022-05-23,-0.00029873000000000004
2022-05-24,-0.0009703
2022-05-25,-0.00024618
2022-05-26,-0.00118686
2022-05-27,-0.00081131
2022-05-28,-0.00062327
2022-05-29,-0.00041705999999999997
2022-05-30,-1.633e-05
2022-05-31,-5.989e-05
2022-06-01,0.0
2022-06-02,-0.00027588
2022-06-03,-0.00024768
2022-06-04,-0.00027990000000000003
2022-06-05,-0.00040262999999999996
2022-06-06,0.0
2022-06-07,-0.00084663
2022-06-08,-0.00034017
2022-06-09,-0.00017685000000000002
2022-06-10,-0.00060945
2022-06-11,-0.00063995
2022-06-12,-0.0009399
2022-06-13,-0.00055272
2022-06-14,-3.66e-05
2022-06-15,-0.00045361999999999996
2022-06-16,-4.671e-05
2022-06-17,-0.00019355000000000002
2022-06-18,-0.00070876
2022-06-19,-0.00078517
2022-06-20,-0.00047919
2022-06-21,-0.00025958999999999997
2022-06-22,-0.00075202
2022-06-23,-0.00044607
2022-06-24,-0.00018108
2022-06-25,-0.00037209
2022-06-26,-0.0002327
2022-06-27,-0.00055616
2022-06-28,-0.00031554
2022-06-29,-0.00061277
2022-06-30,-0.00043453
2022-07-01,-0.00019690000000000002
2022-07-02,-0.00033493
2022-07-03,-0.00028084
2022-07-04,-0.00023629
2022-07-05,-0.00024821
2022-07-06,-0.00018907
2022-07-07,-0.00019788
2022-07-08,-0.00017703
2022-07-09,-0.00011787
2022-07-10,-0.00016454000000000002
2022-07-11,-0.000141
2022-07-12,-0.00057847
2022-07-13,-0.00037434
2022-07-14,-0.00025409
2022-07-15,-8.42e-06
2022-07-16,-2.607e-05
2022-07-17,0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,-7.38e-06
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,-0.00018212
2022-07-25,-0.00022869
2022-07-26,-0.0003276
2022-07-27,-9.596e-05
2022-07-28,0.0
2022-07-29,0.0
2022-07-30,4.073e-05
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,-0.00010067
2022-08-10,0.0
2022-08-11,-0.00010494
2022-08-12,-0.00012899
2022-08-13,0.0
2022-08-14,-0.00017257999999999998
2022-08-15,-0.00012482000000000001
2022-08-16,0.0
2022-08-17,-7.47e-05
2022-08-18,-6.488e-05
2022-08-19,-0.00024248
2022-08-20,-0.00041252
2022-08-21,-0.00041816
2022-08-22,-0.00013977
2022-08-23,-0.00024089
2022-08-24,-0.00024737
2022-08-25,0.0
2022-08-26,-0.00043417
2022-08-27,-0.00054953
2022-08-28,-0.00022894
2022-08-29,-0.00036753999999999997
2022-08-30,-0.00014826
2022-08-31,-0.00019462
2022-09-01,-0.00039228
2022-09-02,-0.00023385
2022-09-03,-0.00029367
2022-09-04,-0.00010652
2022-09-05,-0.00021111
2022-09-06,-1.297e-05
2022-09-07,-0.0009346199999999999
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,0.0
2022-09-11,0.0
2022-09-12,-7e-07
2022-09-13,-9.387e-05
2022-09-14,-0.00036736
2022-09-15,-0.00043944000000000003
2022-09-16,-0.00027466000000000003
2022-09-17,-0.00020268
2022-09-18,-0.00039501
2022-09-19,-0.0006253700000000001
2022-09-20,-0.00015129
2022-09-21,-3.35e-05
2022-09-22,-0.00045016
2022-09-23,-0.00013531999999999997
2022-09-24,-9.65e-06
2022-09-25,-6.67e-05
2022-09-26,-0.00012121
2022-09-27,0.0
2022-09-28,-0.00043252
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,-0.00013995
2022-10-03,0.0
2022-10-04,-1.955e-05
2022-10-05,-2.347e-05
2022-10-06,0.0
2022-10-07,-0.00014306
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,-0.00017328
2022-10-14,-3.764e-05
2022-10-15,-7.828e-05
2022-10-16,-9.323e-05
2022-10-17,-9.58e-05
2022-10-18,-9.061e-05
2022-10-19,0.0
2022-10-20,0.0
2022-10-21,-0.00022192000000000002
2022-10-22,-0.00034202
2022-10-23,-0.00016858
2022-10-24,-5.435e-05
2022-10-25,-7.74e-06
2022-10-26,-7.773e-05
2022-10-27,-3.774e-05
2022-10-28,-2.242e-05
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,-0.00030666
2022-11-02,-0.00043823
2022-11-03,-0.00024064
2022-11-04,-0.00042208
2022-11-05,-0.00044966
2022-11-06,-0.00014303
2022-11-07,0.0
2022-11-08,-0.00095844
2022-11-09,-0.00075685
2022-11-10,-0.0028528299999999998
2022-11-11,-0.00018763999999999999
2022-11-12,-0.00049627
2022-11-13,-0.00045344
2022-11-14,-5.498e-05
2022-11-15,-1.388e-05
2022-11-16,0.0
